update,train_nll,heldout_nll
285,0.6453674999884527,0.6784768470111366
286,0.6452984609749358,0.6792262891838902
287,0.6452659463184357,0.6789287110836295
288,0.6452942310107904,0.6786989988993043
289,0.6453322380776348,0.6793508637684599
290,0.645330387702811,0.6784483427320291
291,0.6452916749172445,0.6791118468222235
292,0.6452628453851773,0.6789307706536737
293,0.6452687107762927,0.6789345034433647
294,0.645293148412444,0.6790691040263834
295,0.6453053361488381,0.6789429676157445
296,0.645292009646769,0.6788740624481093
297,0.6452713018170525,0.6790475058497737
298,0.6452645303306094,0.6785960571769672
299,0.6452794220612033,0.6795864448482634
300,0.6453079240404771,0.6779647177610094
